"property_type","range","mean","max","standard_deviation"
"PRIVATE",340,7.00757575757576,340,17.8896820007839
"SOCIAL HOUSING",70,4.66239316239316,70,11.2647288532217
"TCHC",15,4.10736196319018,15,2.15923229326347
